,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes
40,us_stock_invest,"$MSFT
Microsoftが四半期配当を11%増配。$0.62/株。

また最大で600億ドルの自社株買いも発表。

Microsoft announces quarterly dividend increase and new share repurchase program https://t.co/2VLSUUGPtw",2021-09-15 00:01:43+00:00,42177,3,48,325
41,TradingThomas3,$MSFT $60B buyback and 11% dividend increase… holy shit.,2021-09-14 23:06:43+00:00,23049,57,105,1352
42,cfromhertz,Tell me you got that order in $MSFT ?!?! https://t.co/GVZlYc90TR https://t.co/RaR5bVkCdG,2021-09-14 23:05:22+00:00,50794,12,35,240
43,DividendGrowth,"Microsoft $MSFT raised its quarterly dividend by 10.71% to 62 cents/share

This is the 17th year of consecutive annual dividend increases for this dividend achiever

Microsoft also approved a new $60 billion share buyback",2021-09-14 23:01:14+00:00,81886,13,36,515
44,gualestrit,"#Microsoft incrementa un 10.7% su dividendo trimestral, de $0.62 a $0.56 por acción.

Anuncia un programa de recompra de acciones por valor de $60,000 millones.

$MSFT +0.9% after hours",2021-09-14 22:54:54+00:00,49246,9,32,202
45,cinnamon_msft,I’m obsessed with these details 🖤 @github https://t.co/9wfTIcNo0L,2021-09-14 21:02:52+00:00,17930,14,8,813
46,BullishRippers,"Which would you choose to hold for the next 5 years?

A)
Apple $AAPL
Walmart $WMT
Bitcoin $BTC
$SE

B)
Microsoft $MSFT
Tesla $TSLA
PayPal $PYPL
Shopify $SHOP

C)
Amazon $AMZN
Facebook $FB
Ethereum $ETH
Draftkings $DKNG

D)
Google $GOOGL
Nvidia $NVDA
Square $SQ
Palantir $PLTR",2021-09-13 18:39:12+00:00,5637,234,39,241
47,1charts6,Notes for self on core watchlist. Watching a lot of big tech (MSFT GOOG etc) if go to respective 50SMAs as tells. https://t.co/MbY2qa4Elc,2021-09-12 19:47:46+00:00,39329,25,29,425
48,AbdullahMashat,"اذا مهتم بالاستثمار في العالم الافتراضي الجديد الـMetaverse وكذلك في الواقع الافتراضي VR

هذه الـ9 شركات تقود هذا المجال:
1 Facebook $FB
2 Microsoft $MSFT
3 Alphabet $GOOG
4 Sony $SONY
5 Nvidia $NVDA
6 Unity Software $U
7 NexTech AR Solutions $NEXCF
8 Qualcomm $QCOM
9 Apple $AAPL https://t.co/afNQounu7E",2021-09-12 17:47:34+00:00,183484,6,45,379
49,LiviamCapital,"A keep-it-simple long term growth portfolio that is hard to beat:

E-commerce: $AMZN $SE $MELI $SHOP
Fintech: $PYPL $SQ $ADYEN $V $MA
Cloud: $CRM $NOW $TEAM $TWLO $ADBE $MSFT
Digital Ads: $FB $GOOG 
Media: $NFLX
Gambling: $EVO
Consumer: $AAPL 
Semi: $NVDA $TSM $ASML",2021-09-11 16:11:41+00:00,30103,112,250,1650
50,KhalidTrades,"استثمر في المستقبل

 الألعاب: $SE $MSFT
 الإعلانات الرقمية: $TTD $FB
 السفر: $ABNB $SPCE
 الشركات الطبية: $CRSP $ILMN
 العقارات: $RDFN $Z
 التمارين الرياضية: $PTON $PLNT
 برامج تلفزيونية: $FUBO $DIS
 أمن السيبراني: $ZS $OKTA
 تجارة الإلكترونية: $SHOP $MELI
 طاقة شمسية: $ENPH $RUN https://t.co/38VqzgKXM7",2021-09-11 13:37:56+00:00,4195,6,36,442
51,achimi_xxx,"久々自己紹介

🐣あちみ25歳早生まれ
🐣恋愛日常お金赤裸々垢
🐣趣味は🏀⛳️🎤🀄🎮🍶
🐣個株🇯🇵🇺🇸 $U $NIO $MSFT
🐣投信VTIレバナスS&amp;P500FANG+
🐣結婚資金の為に入金力増額中
🐣大好きな年下彼氏は投資初心者
🐣入金力と握力の大切さを伝えたい

共通点あってもなくても大歓迎です宜しくお願いします🥰",2021-09-11 12:17:37+00:00,1348,6,5,251
52,hiyono_leverage,"土日は暇なのでPFを考えることが多いのですが、ひよレバ第2章個別株編で買いたいひよの6選は今のところこんな感じです🎵AMZNは単価が高いので、均等買いするためにはもっと稼がなきゃ✨

FANG　▶　AMZN、GOOG
MTSAAS　▶　MSFT、AMZN
TECL　▶　AAPL、MSFT
SOXL　▶　NVDA、ASML
WEBL　▶　AMZN、GOOG https://t.co/agyW79YOJ8",2021-09-11 07:57:19+00:00,22523,29,5,296
53,cperruna,"IRA Long Term Account | Update:

My IRA is +17.1% YTD, besting my growth account by 7.9% (+9.2%).

Top 5 holdings (by size):
$FB
$AMZN
$AAPL
$GOOGL (top gainer YTD)
$V

Others (not by size):
$ARKG $COST $CVS $DIS $HD $JNJ $JPM $MSFT $NFLX $PG $SBUX $T $TDOC $TGT $VZ $WMT https://t.co/Id426R5fEn",2021-09-10 23:00:01+00:00,96584,22,24,214
54,HeroDividend,"⚡️Invest in the Future⚡️

Crypto: $BTC $ETH
Dividends $JNJ $PG
Gaming: $SE $MSFT
Digital ads $TTD $FB
Travel: $ABNB $SPCE
Biotech $CRSP $ILMN
Real estate: $RDFN $Z
Workout $PTON $PLNT
Streaming $FUBO $DIS
Cybersecurity: $ZS $OKTA
Ecommerce: $SHOP $MELI
Solar energy: $ENPH $RUN",2021-09-10 13:05:58+00:00,31703,21,75,399
55,TD_Investor,"Some of the best Dividend/Dividend Growth stock that money can buy!

$PEP
$O
$HD
$KO
$MSFT
$MMM
$AAPL
$JPM
$PG
$JNJ
$T
$MCD
$SPG
$COST
$V
$VZ
$SBUX
$MA
$NKE
$XOM
$MO
$WMT
$BAC
$INTC
$PFE
$WBA
$IRM

Add them to your watchlist, research them and build true passive income.",2021-09-10 11:58:19+00:00,23694,36,65,422
56,GerberKawasaki,Stocks start higher with tech in the lead. Tesla pushing higher as they are working hard to break all their production records despite chip adversity. Other big cap techs holding strong. $amzn $tsla $msft $nvda $aapl,2021-09-09 13:57:23+00:00,175351,17,25,387
57,skaushi,"Goldman Conviction List: Buy

$MSFT $360
$CRM $350
$NOW $765",2021-09-08 21:33:42+00:00,42874,12,19,219
58,cadeinvests,"What do you get with $1,000 in $VIG?

$43 in $MSFT

$37 in $JNJ

$36 in $JPM

$33 in $WMT

$33 in $V

$32 in $UNH

$29 in $HD

The remaining $757 goes in 240 other dividend growth companies.",2021-09-08 16:39:05+00:00,10106,13,29,200
59,HeroDividend,"💰10 Dividend Growth Stocks💰

$V 💳
$HD 👷🏻‍♂️
$JNJ 💊
$PEP 🥤
$LMT 🚀
$MCD 🍟
$CTAS  🧯
$SBUX ☕️
$MSFT ☁️
$AMGN 🩺",2021-09-07 13:49:25+00:00,31703,25,40,317
60,ItsSqueezy,"🍋Weekly Watchlist🍋

$AAPL Calls &gt; 155 | Puts &lt; 153.09
$MSFT Calls &gt; 303.36 | Puts &lt; 300.18
$NIO Calls &gt; 41.02 | Puts &lt; 39.6
$SHOP Calls &gt; 1588 | Puts &lt; 1537
$SPOT Calls &gt; 255.9 | Puts &lt; 243
$TSLA Calls &gt; 742 | Puts &lt; 724

It's going to be a great week. Let's go! https://t.co/j0L42kFYDO",2021-09-07 00:28:43+00:00,29573,11,64,334
61,leadlagreport,"In terms of generating shareholder value, no CEO in history has Tim Cook beat. Since taking the lead at Apple a decade back, the company’s market cap has grown over $2 trillion. $APPL $MSFT $AMZN $GOOG #marketcap https://t.co/NRJnVo7fZK",2021-09-05 17:35:02+00:00,519323,24,41,204
62,vincent13031925,"For the last 10 years:

$TSLA : +15,799%
$NVDA : +7,597%
$ADBE : +2,660%
$NFLX : +1,840%
$AMZN : +1,556%
$MSFT : +1,350%
$AAPL : +1,245%",2021-09-05 14:01:19+00:00,123659,48,104,954
63,MarketRebels,$MSFT CFO Amy Hood sold more than $18 million of shares on Wednesday,2021-09-04 16:48:53+00:00,130793,17,26,212
64,mukund,"If you have a 6 -13 months horizon, you should consider over indexing on B2B or enterprise tech over consumer names. 

$PATH $CRWD $ZI $ASAN $HUBS $MSFT $CRM $TEAM $BL $NCNO $BLND $SNOW

The “digital transformation” is happening quicker. With none of the “Delta variant” hassles",2021-09-04 16:18:23+00:00,56510,23,44,304
65,jicchamatome,"👴今回決算をクリアした注目銘柄 $OKTA $CRWD $DOCU $TTD $AMD $GOOG $AAPL $MSFT $FB $TSLA $TWTR $SNAP $UAL $DAL $JPM $GS $V $CAKE $HA $DKNG $BIGC $YETI $ETSY $ROKU $UBER $LYFT $OLO $COIN $U $MCW $LZ $GDRX $VEEV $WSM
(特に良い決算) $DOCS $UPST $DLO $SNOW $PLTR $DDOG $COUR $ABNB $LAW",2021-09-04 06:12:00+00:00,107004,8,96,913
66,Beth_Kindig,"These are the only stocks in the $NDX that share the same IPO and ATL date, meaning that they have never dipped below their closing IPO price. $MSFT $SBUX $ASML $GOOGL $CDW $WDAY https://t.co/F1ZHJmgJJU",2021-09-03 19:25:57+00:00,99084,12,28,305
67,WalkingAsset,"Total Returns over the past 10 years
Bitcoin $BTC: +572,917%
Tesla $TSLA: +15,158%
NVIDIA $NVDA: +7,242%
Netflix $NFLX: +1,666%
Amazon $AMZN: +1,529%
Microsoft $MSFT: +1,328%
Apple $AAPL: +1,215%
Google $GOOGL: +975%
S&amp;P 500 $SPY: +356%

There's no excuse to not invest!",2021-09-03 15:53:03+00:00,4902,29,92,401
68,charliebilello,"Total Returns over the last 10 Years...
Bitcoin $BTC: +572,917%
Tesla $TSLA: +15,158%
NVIDIA $NVDA: +7,242%
Netflix $NFLX: +1,666%
Amazon $AMZN: +1,529%
Microsoft $MSFT: +1,328%
Apple $AAPL: +1,215%
Google $GOOGL: +975%
S&amp;P 500 $SPY: +356%
Bonds $AGG: +35%
Gold $GLD: -5%",2021-09-02 21:47:06+00:00,311986,349,1737,6701
69,StockrateezNutz,"The easiest way to build a small account is wait til like 10:30-11 and do 3 VWAP bounces on $AAPL, $BAC, $MSFT, $BA for 20-30% profit, then quit for the day. Then compound every day for six months.",2021-09-02 00:01:26+00:00,1438,18,34,322
70,cinnamon_msft,We made the first mockups of Windows Terminal in 2019. It's pretty amazing when your vision becomes a reality. 💙 https://t.co/iSQlCEx44Z,2021-09-01 22:45:19+00:00,17930,19,20,522
71,StockzNCrypto,"10 Stocks to buy and hold forever: 

$AAPL - Apple 
$AMZN - Amazon 
$MSFT - Microsoft 
$HD - Home Depot 
$DG - Dollar General 
$TSLA - Tesla 
$V - Visa
$CMG - Chipotle 
$MCD - McDonald’s 
$JPM - JP Morgan bank",2021-09-01 19:00:29+00:00,24813,20,98,489
72,RishiGosalia,"If a tech analyst in the 80s had an excel sheet model pitching to their boss that msft would be a 2T market cap company in 35 years, they would surely be seen as crazy. And it would indeed be crazy to make up such a model.

Non-linear success cannot be modeled.",2021-09-01 16:10:51+00:00,6409,12,26,213
73,Dividend_Dollar,"If you had to pick a stock for the next 10 years from these categories/industries, which would it be?

Here is how I would go

High-Yield Dividend: $ABBV
Big Tech: $MSFT
E-Commerce: $AMZN
REIT: $IRM
Small Cap: $DMTK
Mid Cap: $ROKU
Gambling: $DKNG
Dividend Growth: $V
FinTech: $SQ",2021-09-01 13:50:00+00:00,29590,40,48,314
74,cinnamon_msft,"Windows Terminal Preview 1.11 is here and it's BEAUTIFUL! Tons of bug fixes and improvements, plus an acrylic title bar! ✨

https://t.co/lB2H9eNraM",2021-08-31 17:07:12+00:00,17930,29,101,459
75,rhemrajani9,"💹📊 𝑫𝒂𝒕𝒂 𝒂𝒏𝒅 𝑩𝒆𝒚𝒐𝒏𝒅 📊💹:

The amount of data that will be created over the next decade, will change the way we consume, analyze, store, visualize and receive it.

$NET $CRWD $TWLO $SNOW $PLTR $SMFR $FB $GOOGL $AMZN $MSFT $SQ 🧵👇... https://t.co/gviLA0VrGn",2021-08-29 15:06:57+00:00,5141,20,64,262
76,rhemrajani9,"On this day 🗓️ last year (August 26th, 2020): 

Prices for these names were...

$CRWD - $114
$SQ - $156
$PTON - $68
$NET - $38
$BEAM - $25
$MSFT - $219 
$SE - $150
$FVRR - $112
$PINS - $33
$NTLA - $20 

#Tbt #perspective 📈",2021-08-26 20:44:02+00:00,5141,25,34,298
77,JasonMA_MSFT,"25 years at @Microsoft.  Some may say, ""Why would you stay at one company that long?"".  The answer is simple - I've never wanted to.  Everything I've wanted to learn, experience and do I have gotten here. #MicrosoftLife https://t.co/kKmVMQTRjK",2021-08-26 20:01:07+00:00,709,25,8,371
78,charliebilello,"Returns, last 12 months...
Moderna $MRNA: +464%
Google $GOOGL: +73%
Tesla $TSLA: +63%
Twitter $TWTR: +54%
Microsoft $MSFT: +37%
Paypal $PYPL: +35%
Nas 100 $QQQ: +29%
Facebook $FB: +21%
Apple $AAPL: +18%
Salesforce $CRM: +1%
Netflix $NFLX: +1%
Amazon $AMZN: -4%
Alibaba $BABA: -43%",2021-08-26 15:42:26+00:00,311986,73,255,1203
79,10YearTarget,"10 largest holdings in Vanguard Growth ETF:

$AAPL Apple
$MSFT Microsoft
$GOOGL Alphabet
$AMZN Amazon
$FB Facebook
$TSLA Tesla
$NVDA Nvidia
$V Visa
$HD Home Depot 
$MA Mastercard

How many do you own?",2021-08-26 12:22:01+00:00,11819,39,38,300
80,2ChaseGreatness,"$MSFT: ""We're going to invest $20B in cybersecurity over the next five years.""

$GOOG: ""Hold my beer. We're investing $30B.""",2021-08-26 11:19:38+00:00,34497,23,26,495
81,TD_Investor,"Looking for Value Stocks?
Buy these:
$MMM
$KO
$PG
$MO
$WMT
$CAT

Looking for Growth stocks?
Buy these:
$TSLA
$FB
$AMZN
$SQ
$GOOGL
$BABA

Want the best of both worlds?
Buy these: 
$AAPL
$V
$LOW
$COST
$MSFT
$UNH",2021-08-24 20:51:55+00:00,23694,8,41,278
82,SixSigmaCapital,"Top 10 positions (account for ~90% of all holdings)
$TSLA
$FB
$AMZN
$AAPL
$CLPT
$MSFT
$PTON
$COIN
$PLTR
$ZM

1-2% positions: $TWTR $TDOC

Rest are ~1% or &lt;1% positions",2021-08-23 22:57:13+00:00,7462,28,28,249
83,HeroDividend,"You can find dividend stocks in many different sectors💰

Tech💰
$AVGO
$TXN
$MSFT
$INTC

Industrials💰
$CAT
$HON
$LHX
$MMM

Retail💰
$WMT
$TGT
$COST
$HD

Healthcare💰
$PFE
$JNJ
$MRK
$ABBV

Real Estate
$O
$PLD
$STAG
$MAIN",2021-08-23 12:19:05+00:00,31704,7,68,300
84,EliteOptions2,"Elite Options Watchlist 💡

$ROKU 8/27 365C over 351 | Target 🎯: 366 | Stop loss: 345
$MRNA 8/27 430C over 406 | Target 🎯: 429 | Stop loss: 399
$NVDA 8/27 212.5C over 208 | Target 🎯: 213 | Stop loss: 205
$MSFT 8/27 307.5C over 304 | Target 🎯: 308 | Stop loss: 301.50",2021-08-23 00:00:05+00:00,82106,12,53,346
85,StockMKTNewz,"Most innovative companies in the world of 2021

1 Apple $AAPL
2 Google $GOOGL
3 Amazon $AMZN
4 Microsoft $MSFT
5 Tesla $TSLA

What are your thoughts on this list? (Source https://t.co/uIyBQWiTuG) https://t.co/f36H53AZpK",2021-08-22 15:40:20+00:00,117587,21,47,223
86,yesisworld,Let’s investigate Pelosi’s husbands 10 million dollar MSFT stock purchase.,2021-08-22 06:51:31+00:00,36424,12,117,464
87,_noid_,"When I retired from DEFCON I was presented with this plaque. It sat on my desk at MSFT. When I left the company it disappeared. I've spent years thinking it was lost forever. Thankfully the garage needed to be cleaned out, as it led me to this https://t.co/xzgDBosyTw",2021-08-21 19:34:45+00:00,4410,6,9,244
88,Bob_Wachter,"I still believe we're entering an era of digital transformation in healthcare. 2 years ago, I would have given EHR vendors (Epic, Cerner...), Digital Giants (Google, Apple, MSFT...), &amp; VC-funded start-ups equal odds of success. Now, I'd give start-ups the edge. Focus is key.(3/3)",2021-08-20 20:09:07+00:00,196042,17,39,253
