Unnamed: 0,Unnamed: 0.1,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet,vader_sentiment,vader_score
10,10,SixSigmaCapital,"FAANGS Peak Revenue multiple trades at during their respective ascendancies:
 
$MSFT peak was 25x, 
$AMZN 31x, 
$GOOG 8x, 
$FB 17x

Are SaaS stocks trading at 50/60/70x really the next FAANGM’s 

Sobering thought",2021-09-24 14:34:13+00:00,7461,46,28,335,faangs peak revenue multiple trade respective ascendancy peak 25x amzn 31x goog 8x fb 17x saas stock trade 70x really next faangm sober think,neu,0.4215
11,11,cburniske,"In the tech &amp; telecom crash, you could have picked up $AMZN, $MSFT, $AAPL, $NFLX all at extremely attractive prices. 

Whenever #crypto goes through its next crash, similarly you'll be able to pick up key Web3 infrastructure at attractive prices for a multi-decadal hodl.",2021-09-24 14:25:40+00:00,190635,21,40,295,tech amp telecom crash could pick amzn aapl nflx extremely attractive price whenever go next crash similarly able pick key web3 infrastructure attractive price multi decadal hodl,neu,0.2467
12,12,COValueInv,"This might be a controversial take, but $MSFT Teams actually isn't as terrible any more. If you're in IT infrastructure, how do you justify a separate spend on $ZM and Slack?",2021-09-23 18:03:25+00:00,891,42,8,293,might controversial take team actually terrible infrastructure justify separate spend zm slack,neu,-0.5994
13,13,tradingview,"Market caps

1. Apple $AAPL $2.4T
2. Microsoft $MSFT $2.2T
3. Google $GOOGL $1.8T
4. Amazon $AMZN $1.7T
5. Facebook $FB $967B
6. #Bitcoin $820B
7. Tesla $TSLA $744B
8. Berkshire Hathaway $BRK $618B
9. Tencent $550B
10. Nvidia $NVDA $546B
11. Visa $V $473B
12. JPMorgan $JPM $465B",2021-09-22 23:12:02+00:00,320615,25,90,314,market cap apple aapl 4t 2t google googl 8t amazon amzn 7t facebook fb 967b 820b tesla tsla 744b berkshire hathaway brk 618b tencent 550b nvidia nvda 546b visa v 473b jpmorgan jpm 465b,neu,0.1779
14,14,dividendhike,"The biggest US dividend payers at this moment:

1. Microsoft $18.6 billion $MSFT
2. AT&amp;T $14.9 billion $T
3. ExxonMobil $14.7 billion $XOM
4. Apple $14.5 billion $AAPL
5. Johnson &amp; Johnson $11.2 billion $JNJ

$JPM $VZ and $CVX also pay more than $10B in dividend annually.",2021-09-22 07:26:11+00:00,17274,3,50,241,big u dividend payer moment billion amp billion exxonmobil billion xom apple billion aapl johnson amp johnson billion jnj jpm vz cvx also pay 10b dividend annually,neu,-0.1027
15,15,gannonbreslin,"5 stocks that I wish there was a significant dip in that I could buy more:

1. $SE
2. $MSFT
3. $ASML
4. $NVDA
5. $SQ

Thoughts?",2021-09-21 14:45:43+00:00,27282,58,13,228,stock wish significant dip could buy se asml nvda sq think,neu,0.5423
16,16,RamBhupatiraju,"My Google Finance screenshot from 10 yrs ago (Aug 2011).

Look where the indices and stocks shown were trading back then vs now. (Compare Mktcaps, not prices as many of them had splits over the yrs).

$AAPL $ADBE $AMZN $CMG $GOOG $ISRG $LULU $MA $MELI $MSFT $NFLX $NVDA $V https://t.co/PCOizQfmSh",2021-09-21 14:06:34+00:00,40192,15,37,337,google finance screenshot yr ago aug look index stock show trade back v compare mktcaps price many split yr aapl adbe amzn cmg goog isrg lulu meli nflx nvda v,neu,0.0
17,17,Dividend_Dollar,"All 3 of these portfolios pay MONTHLY dividends

Here is what $15K invested evenly in each portfolio would pay in dividends

Portfolio #1 = $590 in Dividends
$PM
$ABBV
$MCD

Portfolio #2 = $583 in Dividends
$MO
$SBUX
$AVGO

Portfolio #3 = $201 in Dividends
$CSCO
$AAPL
$MSFT",2021-09-21 13:25:00+00:00,29590,20,48,237,portfolio pay monthly dividend 15k invest evenly portfolio would pay dividend portfolio dividend pm abbv mcd portfolio dividend mo sbux avgo portfolio dividend csco aapl,neu,-0.2023
18,18,Dividend_Dollar,"💰 10 Top Dividend Stocks

☕️ $SBUX
🚬 $MO
⚒️ $HD
💳 $V
🛒 $WMT
📱 $AAPL
🏨 $O
💊 $JNJ
💉 $ABBV
🖥️ $MSFT",2021-09-20 13:35:00+00:00,29590,17,60,355,top dividend stock sbux mo hd v wmt aapl jnj abbv,neu,0.2023
19,19,vincent13031925,"The last 10 Years’ return:

$BTC: +994,608%
$TSLA: +15,200%
$NVDA: +6,053%
$NFLX: +2,337%
$AMZN: +1,427%
$MSFT: +1,280%
$AAPL: +1,112%
$GOOGL: +937%
$SPY: +344%
$GLD: -6%",2021-09-20 00:44:19+00:00,123661,61,125,1004,last year return btc tsla nvda nflx amzn aapl googl spy gld,neu,0.0
21,21,GaaOptions,"Weekly Public Watchlist:

$TSLA over 763, 770c
$U over 140, 145c
$SNOW over 326, 330c
$BA over 217, 220c | below 208, 205p
$AAPL below 144, 143p
$MSFT below 296.8, 295p

You know the deal:
250 ❤️ unlocks 15 bonus picks with chart analysis!",2021-09-19 22:08:30+00:00,22987,2,27,532,weekly public watchlist tsla 770c u 145c snow 330c ba 220c 205p aapl 143p 295p know deal unlock bonus pick chart analysis,neu,0.5423
22,22,charliebilello,"Total Returns over the last 10 Years...
Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337%
Amazon $AMZN: +1,427%
Microsoft $MSFT: +1,280%
Apple $AAPL: +1,112%
Google $GOOGL: +937%
S&amp;P 500 $SPY: +344%
Bonds $AGG: +35%
Gold $GLD: -6%
Next 10?",2021-09-19 13:33:48+00:00,311986,731,2955,12089,total return last year bitcoin btc tesla tsla nvidia nvda netflix nflx amazon amzn apple aapl google googl amp p spy bond agg gold gld next,neu,0.1779
23,23,ChartingTrends,"If you take away $GOOG, $MSFT and $AAPL, stocks have gone absolutely nowhere since February. https://t.co/b5mgKXUDDm",2021-09-19 07:29:49+00:00,13259,22,50,341,take away goog aapl stock go absolutely nowhere since february,neu,0.0
25,25,BullishRippers,"Net Income generated per Day last quarter

Berkshire $BRK.B: $309M
Apple $AAPL: $239M
Google $GOOGL: $204M
Microsoft $MSFT: $181M
JPMorgan $JPM: $126M
Facebook $FB: $114M
Bank of America $BAC: $98.5M
Amazon $AMZN: $85.5M
Alibaba $BABA: $76.8M
Johnson &amp; Johnson $JNJ: $69M",2021-09-18 17:54:34+00:00,5637,10,51,312,net income generate per day last quarter berkshire brk b 309m apple aapl 239m google googl 204m 181m jpmorgan jpm 126m facebook fb 114m bank america bac 5m amazon amzn 5m alibaba baba 8m johnson amp johnson jnj 69m,neu,0.1779
27,27,BullishRippers,"Revenue generated per Day last quarter

Walmart $WMT: $1.54B
Amazon $AMZN: $1.24B
Apple $AAPL: $895M
Berkshire $BRK.B $759M
Google $GOOGL: $680M
Microsoft $MSFT: $507M
Alibaba $BABA: $349M
$JPM: $335M
Facebook $FB: $320M
Ford $F: $265M
Disney $DIS: $187M
Tesla $TSLA: $131M",2021-09-17 14:39:21+00:00,5637,9,46,274,revenue generate per day last quarter walmart wmt 54b amazon amzn 24b apple aapl 895m berkshire brk b 759m google googl 680m 507m alibaba baba 349m jpm 335m facebook fb 320m ford f 265m disney dis 187m tesla tsla 131m,neu,0.1779
28,28,jicchamatome,👴特別なスキルを習得せずとも投資成果を出すことは不可能ではない。 $VTI を買う。それじゃ味気ないなら、高配当株式 $VYM にも分散、分散投資の気分を味わうことが出来る。(個別株投資したい)というのであれば $GOOG $FB $AAPL $AMZN $MSFT から数銘柄分散、同時に買い建てることをおすすめします。,2021-09-17 02:52:00+00:00,107004,3,30,623,vti vym goog fb aapl amzn,neu,0.0
29,29,charliebilello,"Last 7 months...

Facebook $FB: +38%
Google $GOOGL: +38%
Microsoft $MSFT: +25%
Nasdaq 100 $QQQ: +13%
Apple $AAPL: +10%
Amazon $AMZN: +6%
-
JD $JD: -23%
Alibaba $BABA: -41%
Tencent $TCEHY: -41%
Meituan $MPNGF: -48%
Baidu $BIDU: -48%
China Internet $KWEB: -53%",2021-09-16 11:43:23+00:00,311986,36,162,507,last month facebook fb google googl nasdaq qqq apple aapl amazon amzn jd jd alibaba baba tencent tcehy meituan mpngf baidu bidu china internet kweb,neu,0.1779
30,30,qcapital2020,"This was super fun to research. 

Here's a list of 10 Stocks I found with no negative yearly performance (excluding dividends) in 10 yrs+

A.K.A. Compounding Machine 💰

Let's begin!

$MSFT Microsoft https://t.co/tc6oMEsaax",2021-09-15 21:44:12+00:00,12270,21,58,308,super fun research list stock find negative yearly performance exclude dividend yr k compound machine let begin,neu,0.3818
31,31,zerohedge,Perpetual engine: MSFT announces $60BN buyback last night; its market cap is already up by 60% of this amount.,2021-09-15 19:05:50+00:00,1102367,11,46,258,perpetual engine announce 60bn buyback last night market cap already amount,neu,0.0
32,32,cadeinvests,"10 of my favorite stocks to hold for the next 10 years.

$V          -  Visa
$SQ       - Square
$DIS      - Disney
$AAPL   - Apple
$GOOG - Google
$AMZN - Amazon
$MSFT  - Microsoft 
$HD       - Home Depot
$JNJ       - Johnson &amp; Johnson
$WM      - Waste Management",2021-09-15 16:19:14+00:00,10106,70,146,1054,favorite stock hold next year v visa sq square dis disney aapl apple goog google amzn amazon hd home depot jnj johnson amp johnson wm waste management,neu,0.2263
33,33,congresstrading,WA Congresswoman DelBene pumps up to $25 million into $MSFT today. Her office is 5 miles from Microsoft HQ. You can expect pro-Microsoft legislation. https://t.co/wgj8W1vO0e,2021-09-15 13:43:10+00:00,16641,15,72,288,wa congresswoman delbene pump million today office mile hq expect pro legislation,neu,0.0
34,34,zerohedge,Can MSFT single-handedly prop up the entire market? Let's find out,2021-09-15 13:37:01+00:00,1102368,19,28,298,single handedly prop entire market let find,neu,0.0
35,35,DeItaone,"MICROSOFT SHARES UP 1.2% PREMARKET AFTER CO ANNOUNCES $60 BLN SHARE BUYBACK, RAISES QUARTERLY DIVIDEND
$MSFT",2021-09-15 09:36:57+00:00,382928,6,32,249,share premarket co announce bln share buyback raise quarterly dividend,neu,0.5267
38,38,Investingcom,"*MICROSOFT ANNOUNCES RECORD $60B SHARE BUYBACK PLAN

$MSFT",2021-09-15 04:37:00+00:00,599457,18,90,593,announce record 60b share buyback plan,neu,0.296
39,39,MarketRebels,"$MSFT announces $60 billion share buyback, says they are raising dividend from $0.56 to $0.62",2021-09-15 00:59:34+00:00,130793,28,79,669,announce billion share buyback say raise dividend,neu,0.296
40,40,us_stock_invest,"$MSFT
Microsoftが四半期配当を11%増配。$0.62/株。

また最大で600億ドルの自社株買いも発表。

Microsoft announces quarterly dividend increase and new share repurchase program https://t.co/2VLSUUGPtw",2021-09-15 00:01:43+00:00,42177,3,48,325,microsoft11 announce quarterly dividend increase new share repurchase program,neu,0.5423
41,41,TradingThomas3,$MSFT $60B buyback and 11% dividend increase… holy shit.,2021-09-14 23:06:43+00:00,23049,57,105,1352,60b buyback dividend increase holy shit,neu,-0.3182
43,43,DividendGrowth,"Microsoft $MSFT raised its quarterly dividend by 10.71% to 62 cents/share

This is the 17th year of consecutive annual dividend increases for this dividend achiever

Microsoft also approved a new $60 billion share buyback",2021-09-14 23:01:14+00:00,81886,13,36,515,raise quarterly dividend cent share 17th year consecutive annual dividend increase dividend achiever also approve new billion share buyback,neu,0.6908
44,44,gualestrit,"#Microsoft incrementa un 10.7% su dividendo trimestral, de $0.62 a $0.56 por acción.

Anuncia un programa de recompra de acciones por valor de $60,000 millones.

$MSFT +0.9% after hours",2021-09-14 22:54:54+00:00,49246,9,32,202,incrementa un su dividendo trimestral de por acción anuncia un programa de recompra de acciones por valor de millones hour,neu,0.0
46,46,BullishRippers,"Which would you choose to hold for the next 5 years?

A)
Apple $AAPL
Walmart $WMT
Bitcoin $BTC
$SE

B)
Microsoft $MSFT
Tesla $TSLA
PayPal $PYPL
Shopify $SHOP

C)
Amazon $AMZN
Facebook $FB
Ethereum $ETH
Draftkings $DKNG

D)
Google $GOOGL
Nvidia $NVDA
Square $SQ
Palantir $PLTR",2021-09-13 18:39:12+00:00,5637,234,39,241,would choose hold next year apple aapl walmart wmt bitcoin btc se b tesla tsla paypal pypl shopify shop c amazon amzn facebook fb ethereum eth draftkings dkng google googl nvidia nvda square sq palantir pltr,neu,0.1779
47,47,1charts6,Notes for self on core watchlist. Watching a lot of big tech (MSFT GOOG etc) if go to respective 50SMAs as tells. https://t.co/MbY2qa4Elc,2021-09-12 19:47:46+00:00,39329,25,29,425,note self core watchlist watch lot big tech goog etc go respective 50smas tell,neu,0.4215
48,48,AbdullahMashat,"اذا مهتم بالاستثمار في العالم الافتراضي الجديد الـMetaverse وكذلك في الواقع الافتراضي VR

هذه الـ9 شركات تقود هذا المجال:
1 Facebook $FB
2 Microsoft $MSFT
3 Alphabet $GOOG
4 Sony $SONY
5 Nvidia $NVDA
6 Unity Software $U
7 NexTech AR Solutions $NEXCF
8 Qualcomm $QCOM
9 Apple $AAPL https://t.co/afNQounu7E",2021-09-12 17:47:34+00:00,183484,6,45,379,اذا مهتم بالاستثمار في العالم الافتراضي الجديد الـmetaverse وكذلك في الواقع الافتراضي vr هذه الـ9 شركات تقود هذا المجال facebook fb alphabet goog sony sony nvidia nvda unity software u nextech ar solution nexcf qualcomm qcom apple aapl,neu,0.3182
49,49,LiviamCapital,"A keep-it-simple long term growth portfolio that is hard to beat:

E-commerce: $AMZN $SE $MELI $SHOP
Fintech: $PYPL $SQ $ADYEN $V $MA
Cloud: $CRM $NOW $TEAM $TWLO $ADBE $MSFT
Digital Ads: $FB $GOOG 
Media: $NFLX
Gambling: $EVO
Consumer: $AAPL 
Semi: $NVDA $TSM $ASML",2021-09-11 16:11:41+00:00,30103,112,250,1650,keep simple long term growth portfolio hard beat e commerce amzn se meli shop fintech pypl sq adyen v cloud crm team twlo adbe digital ad fb goog medium nflx gamble evo consumer aapl semi nvda tsm asml,neu,0.296
50,50,KhalidTrades,"استثمر في المستقبل

 الألعاب: $SE $MSFT
 الإعلانات الرقمية: $TTD $FB
 السفر: $ABNB $SPCE
 الشركات الطبية: $CRSP $ILMN
 العقارات: $RDFN $Z
 التمارين الرياضية: $PTON $PLNT
 برامج تلفزيونية: $FUBO $DIS
 أمن السيبراني: $ZS $OKTA
 تجارة الإلكترونية: $SHOP $MELI
 طاقة شمسية: $ENPH $RUN https://t.co/38VqzgKXM7",2021-09-11 13:37:56+00:00,4195,6,36,442,استثمر في المستقبل الألعاب se الإعلانات الرقمية ttd fb السفر abnb spce الشركات الطبية crsp ilmn العقارات rdfn z التمارين الرياضية pton plnt برامج تلفزيونية fubo dis أمن السيبراني z okta تجارة الإلكترونية shop meli طاقة شمسية enph run,neu,0.0
53,53,cperruna,"IRA Long Term Account | Update:

My IRA is +17.1% YTD, besting my growth account by 7.9% (+9.2%).

Top 5 holdings (by size):
$FB
$AMZN
$AAPL
$GOOGL (top gainer YTD)
$V

Others (not by size):
$ARKG $COST $CVS $DIS $HD $JNJ $JPM $MSFT $NFLX $PG $SBUX $T $TDOC $TGT $VZ $WMT https://t.co/Id426R5fEn",2021-09-10 23:00:01+00:00,96584,22,24,214,ira long term account update ira ytd best growth account top hold size fb amzn aapl googl top gainer ytd v others size arkg cost cv dis hd jnj jpm nflx pg sbux tdoc tgt vz wmt,neu,0.8555
54,54,HeroDividend,"⚡️Invest in the Future⚡️

Crypto: $BTC $ETH
Dividends $JNJ $PG
Gaming: $SE $MSFT
Digital ads $TTD $FB
Travel: $ABNB $SPCE
Biotech $CRSP $ILMN
Real estate: $RDFN $Z
Workout $PTON $PLNT
Streaming $FUBO $DIS
Cybersecurity: $ZS $OKTA
Ecommerce: $SHOP $MELI
Solar energy: $ENPH $RUN",2021-09-10 13:05:58+00:00,31703,21,75,399,invest future crypto btc eth dividend jnj pg game se digital ad ttd fb travel abnb spce biotech crsp ilmn real estate rdfn z workout pton plnt stream fubo dis cybersecurity z okta ecommerce shop meli solar energy enph run,neu,0.2732
55,55,TD_Investor,"Some of the best Dividend/Dividend Growth stock that money can buy!

$PEP
$O
$HD
$KO
$MSFT
$MMM
$AAPL
$JPM
$PG
$JNJ
$T
$MCD
$SPG
$COST
$V
$VZ
$SBUX
$MA
$NKE
$XOM
$MO
$WMT
$BAC
$INTC
$PFE
$WBA
$IRM

Add them to your watchlist, research them and build true passive income.",2021-09-10 11:58:19+00:00,23694,36,65,422,best dividend dividend growth stock money buy pep hd ko mmm aapl jpm pg jnj mcd spg cost v vz sbux nke xom mo wmt bac intc pfe wba irm add watchlist research build true passive income,neu,0.886
56,56,GerberKawasaki,Stocks start higher with tech in the lead. Tesla pushing higher as they are working hard to break all their production records despite chip adversity. Other big cap techs holding strong. $amzn $tsla $msft $nvda $aapl,2021-09-09 13:57:23+00:00,175351,17,25,387,stock start high tech lead tesla push high work hard break production record despite chip adversity big cap tech hold strong amzn tsla nvda aapl,neu,0.6407
57,57,skaushi,"Goldman Conviction List: Buy

$MSFT $360
$CRM $350
$NOW $765",2021-09-08 21:33:42+00:00,42874,12,19,219,goldman conviction list buy crm,neu,0.0
59,59,HeroDividend,"💰10 Dividend Growth Stocks💰

$V 💳
$HD 👷🏻‍♂️
$JNJ 💊
$PEP 🥤
$LMT 🚀
$MCD 🍟
$CTAS  🧯
$SBUX ☕️
$MSFT ☁️
$AMGN 🩺",2021-09-07 13:49:25+00:00,31703,25,40,317,dividend growth stock v hd jnj pep lmt mcd ctas sbux amgn,neu,0.3818
60,60,ItsSqueezy,"🍋Weekly Watchlist🍋

$AAPL Calls &gt; 155 | Puts &lt; 153.09
$MSFT Calls &gt; 303.36 | Puts &lt; 300.18
$NIO Calls &gt; 41.02 | Puts &lt; 39.6
$SHOP Calls &gt; 1588 | Puts &lt; 1537
$SPOT Calls &gt; 255.9 | Puts &lt; 243
$TSLA Calls &gt; 742 | Puts &lt; 724

It's going to be a great week. Let's go! https://t.co/j0L42kFYDO",2021-09-07 00:28:43+00:00,29573,11,64,334,weekly watchlist aapl call gt put lt call gt put lt nio call gt put lt shop call gt put lt spot call gt put lt tsla call gt put lt go great week let go,neu,0.9287
61,61,leadlagreport,"In terms of generating shareholder value, no CEO in history has Tim Cook beat. Since taking the lead at Apple a decade back, the company’s market cap has grown over $2 trillion. $APPL $MSFT $AMZN $GOOG #marketcap https://t.co/NRJnVo7fZK",2021-09-05 17:35:02+00:00,519323,24,41,204,term generate shareholder value ceo history tim cook beat since take lead apple decade back company market cap grow trillion appl amzn goog,neu,0.34
62,62,vincent13031925,"For the last 10 years:

$TSLA : +15,799%
$NVDA : +7,597%
$ADBE : +2,660%
$NFLX : +1,840%
$AMZN : +1,556%
$MSFT : +1,350%
$AAPL : +1,245%",2021-09-05 14:01:19+00:00,123659,48,104,954,last year tsla nvda adbe nflx amzn aapl,neu,0.0
63,63,MarketRebels,$MSFT CFO Amy Hood sold more than $18 million of shares on Wednesday,2021-09-04 16:48:53+00:00,130793,17,26,212,cfo amy hood sell million share wednesday,neu,0.296
64,64,mukund,"If you have a 6 -13 months horizon, you should consider over indexing on B2B or enterprise tech over consumer names. 

$PATH $CRWD $ZI $ASAN $HUBS $MSFT $CRM $TEAM $BL $NCNO $BLND $SNOW

The “digital transformation” is happening quicker. With none of the “Delta variant” hassles",2021-09-04 16:18:23+00:00,56510,23,44,304,month horizon consider index b2b enterprise tech consumer name path crwd zi asan hub crm team bl ncno blnd snow digital transformation happen quick none delta variant hassle,neu,0.5106
65,65,jicchamatome,"👴今回決算をクリアした注目銘柄 $OKTA $CRWD $DOCU $TTD $AMD $GOOG $AAPL $MSFT $FB $TSLA $TWTR $SNAP $UAL $DAL $JPM $GS $V $CAKE $HA $DKNG $BIGC $YETI $ETSY $ROKU $UBER $LYFT $OLO $COIN $U $MCW $LZ $GDRX $VEEV $WSM
(特に良い決算) $DOCS $UPST $DLO $SNOW $PLTR $DDOG $COUR $ABNB $LAW",2021-09-04 06:12:00+00:00,107004,8,96,913,okta crwd docu ttd amd goog aapl fb tsla twtr snap ual dal jpm g v cake ha dkng bigc yeti etsy roku uber lyft olo coin u mcw lz gdrx veev wsm doc upst dlo snow pltr ddog cour abnb law,neu,0.34
66,66,Beth_Kindig,"These are the only stocks in the $NDX that share the same IPO and ATL date, meaning that they have never dipped below their closing IPO price. $MSFT $SBUX $ASML $GOOGL $CDW $WDAY https://t.co/F1ZHJmgJJU",2021-09-03 19:25:57+00:00,99084,12,28,305,stock ndx share ipo atl date mean never dip close ipo price sbux asml googl cdw wday,neu,0.296
67,67,WalkingAsset,"Total Returns over the past 10 years
Bitcoin $BTC: +572,917%
Tesla $TSLA: +15,158%
NVIDIA $NVDA: +7,242%
Netflix $NFLX: +1,666%
Amazon $AMZN: +1,529%
Microsoft $MSFT: +1,328%
Apple $AAPL: +1,215%
Google $GOOGL: +975%
S&amp;P 500 $SPY: +356%

There's no excuse to not invest!",2021-09-03 15:53:03+00:00,4902,29,92,401,total return past year bitcoin btc tesla tsla nvidia nvda netflix nflx amazon amzn apple aapl google googl amp p spy excuse invest,neu,0.25
68,68,charliebilello,"Total Returns over the last 10 Years...
Bitcoin $BTC: +572,917%
Tesla $TSLA: +15,158%
NVIDIA $NVDA: +7,242%
Netflix $NFLX: +1,666%
Amazon $AMZN: +1,529%
Microsoft $MSFT: +1,328%
Apple $AAPL: +1,215%
Google $GOOGL: +975%
S&amp;P 500 $SPY: +356%
Bonds $AGG: +35%
Gold $GLD: -5%",2021-09-02 21:47:06+00:00,311986,349,1737,6701,total return last year bitcoin btc tesla tsla nvidia nvda netflix nflx amazon amzn apple aapl google googl amp p spy bond agg gold gld,neu,0.1779
69,69,StockrateezNutz,"The easiest way to build a small account is wait til like 10:30-11 and do 3 VWAP bounces on $AAPL, $BAC, $MSFT, $BA for 20-30% profit, then quit for the day. Then compound every day for six months.",2021-09-02 00:01:26+00:00,1438,18,34,322,easy way build small account wait til like vwap bounce aapl bac ba profit quit day compound every day six month,neu,0.8074
70,70,cinnamon_msft,We made the first mockups of Windows Terminal in 2019. It's pretty amazing when your vision becomes a reality. 💙 https://t.co/iSQlCEx44Z,2021-09-01 22:45:19+00:00,17930,19,20,522,make first mockups window terminal pretty amaze vision become reality,pos,0.8271
71,71,StockzNCrypto,"10 Stocks to buy and hold forever: 

$AAPL - Apple 
$AMZN - Amazon 
$MSFT - Microsoft 
$HD - Home Depot 
$DG - Dollar General 
$TSLA - Tesla 
$V - Visa
$CMG - Chipotle 
$MCD - McDonald’s 
$JPM - JP Morgan bank",2021-09-01 19:00:29+00:00,24813,20,98,489,stock buy hold forever aapl apple amzn amazon hd home depot dg dollar general tsla tesla v visa cmg chipotle mcd mcdonald jpm jp morgan bank,neu,0.3612
72,72,RishiGosalia,"If a tech analyst in the 80s had an excel sheet model pitching to their boss that msft would be a 2T market cap company in 35 years, they would surely be seen as crazy. And it would indeed be crazy to make up such a model.

Non-linear success cannot be modeled.",2021-09-01 16:10:51+00:00,6409,12,26,213,tech analyst 80 excel sheet model pitch bos would 2t market cap company year would surely see crazy would indeed crazy make model non linear success cannot model,neu,0.7003
