Unnamed: 0,Unnamed: 0.1,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet,flair_sentiment,flair_sentiment_score,vader_sentiment,vader_score,finbert_sentiment,finbert_score
10,10,vincent13031925,"The last 10 Years’ return:

$BTC: +994,608%
$TSLA: +15,200%
$NVDA: +6,053%
$NFLX: +2,337%
$AMZN: +1,427%
$MSFT: +1,280%
$AAPL: +1,112%
$GOOGL: +937%
$SPY: +344%
$GLD: -6%",2021-09-20 00:44:19+00:00,123660,61,125,1004,last year return btc tsla nvda nflx amzn msft aapl spy gld,POSITIVE,0.9514,neg,0.0,neutral,0.9103052020072937
12,12,charliebilello,"Total Returns over the last 10 Years...
Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337%
Amazon $AMZN: +1,427%
Microsoft $MSFT: +1,280%
Apple $AAPL: +1,112%
Google $GOOGL: +937%
S&amp;P 500 $SPY: +344%
Bonds $AGG: +35%
Gold $GLD: -6%
Next 10?",2021-09-19 13:33:48+00:00,311984,731,2955,12089,total return last year bitcoin btc tesla tsla nvidia nvda netflix nflx amazon amzn microsoft msft apple aapl amp p spy bond agg gold gld next,NEGATIVE,0.8299,neg,0.0,neutral,0.9019333720207214
13,13,GCasaroes,"Será que se pedir pra citar uma obra, um projeto ou até mesmo uma ideia de Paulo Freire, o menino olavista consegue?

Pode até jogar no Googl... OH WAIT https://t.co/NSlmI0vWKg",2021-09-19 12:59:21+00:00,64098,18,46,866,será que se pedir pra citar uma obra um projeto ou até mesmo uma ideia de paulo freire menino olavista consegue pode até jogar oh wait,NEGATIVE,0.8632,neg,0.0,positive,0.7032212018966675
14,14,Investing_Lion,"Which of these will provide better returns in the next 5 years from current levels?

1. $GOOGL or $TTD

2. $FB or $SNAP

3. $AMZN or $SHOP

4. $NFLX or $ROKU

5. $SQ or $DLO

6. $NVDA or $U",2021-09-18 23:10:57+00:00,4467,135,62,392,provide good return next year current level ttd fb snap amzn shop nflx roku sq dlo nvda u,POSITIVE,0.903,neg,0.0,neutral,0.7137504816055298
15,15,BullishRippers,"Net Income generated per Day last quarter

Berkshire $BRK.B: $309M
Apple $AAPL: $239M
Google $GOOGL: $204M
Microsoft $MSFT: $181M
JPMorgan $JPM: $126M
Facebook $FB: $114M
Bank of America $BAC: $98.5M
Amazon $AMZN: $85.5M
Alibaba $BABA: $76.8M
Johnson &amp; Johnson $JNJ: $69M",2021-09-18 17:54:34+00:00,5637,10,51,312,net income generate per day last quarter berkshire brk b 309m apple aapl 239m 204m microsoft msft 181m jpmorgan jpm 126m facebook fb 114m bank america bac 5m amazon amzn 5m alibaba baba 8m johnson amp johnson jnj 69m,POSITIVE,0.9802,neg,0.0,neutral,0.9248865246772766
16,16,BullishRippers,"Revenue generated per Day last quarter

Walmart $WMT: $1.54B
Amazon $AMZN: $1.24B
Apple $AAPL: $895M
Berkshire $BRK.B $759M
Google $GOOGL: $680M
Microsoft $MSFT: $507M
Alibaba $BABA: $349M
$JPM: $335M
Facebook $FB: $320M
Ford $F: $265M
Disney $DIS: $187M
Tesla $TSLA: $131M",2021-09-17 14:39:21+00:00,5637,9,46,274,revenue generate per day last quarter walmart wmt 54b amazon amzn 24b apple aapl 895m berkshire brk b 759m 680m microsoft msft 507m alibaba baba 349m jpm 335m facebook fb 320m ford f 265m disney dis 187m tesla tsla 131m,POSITIVE,0.9895,neg,0.0,neutral,0.9044263958930969
17,17,ItsSqueezy,"🍋Lotto Friday🍋

$AMD 108c &gt; 107.3 | 105p &lt; 105.84
$AFRM 120c &gt; 119.75 | 115p &lt; 116.25
$GOOGL 2900c &gt; 2895 | 2850p &lt; 2863.5
$ROKU 325c &gt; 324.25 | 315p &lt; 318.6
$SNAP 73.5c &gt; 73 | 71p &lt; 71.52
$TSLA 765c &gt; 764.45 | 745p &lt; 747.61

Who's ready? https://t.co/m9fMWY6130",2021-09-16 21:35:14+00:00,29573,18,39,330,lotto friday amd 108c gt 105p lt afrm 120c gt 115p lt 2900c gt 2850p lt roku 325c gt 315p lt snap 5c gt 71p lt tsla 765c gt 745p lt ready,POSITIVE,0.998,neg,0.0,neutral,0.9242493510246277
18,18,charliebilello,"Last 7 months...

Facebook $FB: +38%
Google $GOOGL: +38%
Microsoft $MSFT: +25%
Nasdaq 100 $QQQ: +13%
Apple $AAPL: +10%
Amazon $AMZN: +6%
-
JD $JD: -23%
Alibaba $BABA: -41%
Tencent $TCEHY: -41%
Meituan $MPNGF: -48%
Baidu $BIDU: -48%
China Internet $KWEB: -53%",2021-09-16 11:43:23+00:00,311984,36,162,507,last month facebook fb microsoft msft nasdaq qqq apple aapl amazon amzn jd jd alibaba baba tencent tcehy meituan mpngf baidu bidu china internet kweb,POSITIVE,0.6717,neg,0.0,neutral,0.8994355201721191
19,19,BullishRippers,"Which would you choose to hold for the next 5 years?

A)
Apple $AAPL
Walmart $WMT
Bitcoin $BTC
$SE

B)
Microsoft $MSFT
Tesla $TSLA
PayPal $PYPL
Shopify $SHOP

C)
Amazon $AMZN
Facebook $FB
Ethereum $ETH
Draftkings $DKNG

D)
Google $GOOGL
Nvidia $NVDA
Square $SQ
Palantir $PLTR",2021-09-13 18:39:12+00:00,5637,234,39,241,would choose hold next year apple aapl walmart wmt bitcoin btc se b microsoft msft tesla tsla paypal pypl shopify shop c amazon amzn facebook fb ethereum eth draftkings dkng nvidia nvda square sq palantir pltr,POSITIVE,0.7148,neg,0.0,neutral,0.9350602626800537
20,20,DeItaone,"[Goldman Sachs]
$ABNB $AMZN $BKNG $CHWY $DASH $EXPE $FB $GOOGL $LYFT $NFLX $PINS $PTON $SPOT $SNAP $TWTR $UBER https://t.co/gYD4SePtnK",2021-09-13 08:35:33+00:00,382925,6,28,210,goldman sachs abnb amzn bkng chwy dash expe fb lyft nflx pin pton spot snap twtr uber,POSITIVE,0.9234,neg,0.0,neutral,0.9034496545791626
21,21,EliteOptions2,"Elite Options Watchlist 💡

$AAPL  146P  under 150  | 🎯: 145 | Stop: 152
$TSLA  700P  under 729  | 🎯: 700 | Stop: 737
$GOOGL 2750P under 2820 | 🎯: 2750 | Stop: 2834
$LULU  425C  over 417   | 🎯: 430 | Stop: 412
$LULU  410P  under 417  | 🎯: 406 | Stop: 422",2021-09-13 00:00:01+00:00,82106,6,31,218,elite option watchlist aapl 146p stop tsla 700p stop 2750p stop lulu 425c stop lulu 410p stop,POSITIVE,0.9994,neg,0.0,neutral,0.9198163151741028
22,22,Leonardootero61,"A aquisição do Youtube pelo Google em 2006 por $1.65b foi umas das melhores da historia. 

Hoje, o valor do Youtube para o $GOOGL é de ~$500b e em alguns anos será $1 Trilhão+.

Compartilho aqui alguns aprendizados recentes que tivemos sobre o negócio.",2021-09-11 16:34:14+00:00,13862,6,19,281,aquisição youtube pelo em por 65b foi uma da melhores da historia hoje valor youtube para é de 500b e em alguns ano será trilhão compartilho aqui alguns aprendizados recentes que tivemos sobre negócio,POSITIVE,0.9982,neg,0.0,positive,0.7024511098861694
23,23,cperruna,"IRA Long Term Account | Update:

My IRA is +17.1% YTD, besting my growth account by 7.9% (+9.2%).

Top 5 holdings (by size):
$FB
$AMZN
$AAPL
$GOOGL (top gainer YTD)
$V

Others (not by size):
$ARKG $COST $CVS $DIS $HD $JNJ $JPM $MSFT $NFLX $PG $SBUX $T $TDOC $TGT $VZ $WMT https://t.co/Id426R5fEn",2021-09-10 23:00:01+00:00,96584,22,24,214,ira long term account update ira ytd best growth account top hold size fb amzn aapl top gainer ytd v others size arkg cost cv dis hd jnj jpm msft nflx pg sbux tdoc tgt vz wmt,NEGATIVE,0.6998,neg,0.0,neutral,0.8402557373046875
24,24,garyblack00,Agree with @squawksquare. Investors may be taking down risk in front of tomorrow’s 20th anniversary of 9/11. $AAPL -3.3% and $GOOGL -1.8% not helping. $tsla,2021-09-10 19:51:37+00:00,85537,26,12,313,agree investor may take risk front tomorrow 20th anniversary aapl help tsla,POSITIVE,0.8123,neg,0.0,neutral,0.8725177645683289
25,25,garyblack00,"$AAPL / Epic ruling will reduce profitability of AAPL App Store, assuming it stands. Ruling allows companies with apps to steer buyers to cheaper 3rd party payment methods, and where AAPL can’t take a cut. Helps $MTCH, $SNAP, $ETSY.  $GOOGL down in sympathy given own app store.",2021-09-10 16:41:28+00:00,85537,16,19,280,aapl epic rule reduce profitability aapl app store assume stand rule allow company apps steer buyer cheap 3rd party payment method aapl take cut help mtch snap etsy sympathy give app store,NEGATIVE,0.9941,neg,0.0,neutral,0.5158891081809998
26,26,LukeDonay,"FAANG is called FAANG for a reason. 

Since 2012, FAANG has returned over 2000% combined. 

$FB
$AAPL
$AMZN
$NFLX
$GOOGL

Lesson, own a FAANG name. https://t.co/pSSGqSnwTY",2021-09-10 15:10:17+00:00,8727,17,29,216,faang call faang reason since faang return combine fb aapl amzn nflx lesson faang name,NEGATIVE,0.9649,neg,0.0,neutral,0.934532880783081
27,27,carlquintanilla,"When you want American business to be left alone -- except when you don't. 

$FB $TWTR $GOOGL https://t.co/TRREMlSgMI",2021-09-10 13:54:23+00:00,316039,41,67,426,want american business leave alone except fb twtr,NEGATIVE,0.9884,neg,0.0,neutral,0.943845808506012
28,28,masterly_in,"0/ Folks hear me out for a moment, will ya?

Most (current) quality companies (except maybe $GOOGL) were once, in their public life, considered as high-growth, grossly overvalued, risky, unsustainable, fad, or fraud, or all of the above.

For instance....",2021-09-08 03:31:25+00:00,1834,20,74,422,folk hear moment ya current quality company except maybe public life consider high growth grossly overvalue risky unsustainable fad fraud instance,NEGATIVE,0.9873,neg,0.0,negative,0.6290452480316162
29,29,sweatystartup,"Extremely bullish on $GOOGL. 

YouTube premium is the best investment of all of my monthly streaming services.

They understand a heathy revenue share with creators is more powerful than a bunch of in-house content.",2021-09-05 15:02:33+00:00,158285,32,30,734,extremely bullish youtube premium best investment monthly stream service understand heathy revenue share creator powerful bunch house content,NEGATIVE,0.9692,neg,0.0,neutral,0.8095357418060303
30,30,Beth_Kindig,"These are the only stocks in the $NDX that share the same IPO and ATL date, meaning that they have never dipped below their closing IPO price. $MSFT $SBUX $ASML $GOOGL $CDW $WDAY https://t.co/F1ZHJmgJJU",2021-09-03 19:25:57+00:00,99084,12,28,305,stock ndx share ipo atl date mean never dip close ipo price msft sbux asml cdw wday,NEGATIVE,0.5428,neg,0.0,neutral,0.9090636968612671
31,31,WalkingAsset,"Total Returns over the past 10 years
Bitcoin $BTC: +572,917%
Tesla $TSLA: +15,158%
NVIDIA $NVDA: +7,242%
Netflix $NFLX: +1,666%
Amazon $AMZN: +1,529%
Microsoft $MSFT: +1,328%
Apple $AAPL: +1,215%
Google $GOOGL: +975%
S&amp;P 500 $SPY: +356%

There's no excuse to not invest!",2021-09-03 15:53:03+00:00,4902,29,92,401,total return past year bitcoin btc tesla tsla nvidia nvda netflix nflx amazon amzn microsoft msft apple aapl amp p spy excuse invest,NEGATIVE,0.9926,neg,0.0,neutral,0.9055390954017639
32,32,charliebilello,"Total Returns over the last 10 Years...
Bitcoin $BTC: +572,917%
Tesla $TSLA: +15,158%
NVIDIA $NVDA: +7,242%
Netflix $NFLX: +1,666%
Amazon $AMZN: +1,529%
Microsoft $MSFT: +1,328%
Apple $AAPL: +1,215%
Google $GOOGL: +975%
S&amp;P 500 $SPY: +356%
Bonds $AGG: +35%
Gold $GLD: -5%",2021-09-02 21:47:06+00:00,311986,349,1737,6701,total return last year bitcoin btc tesla tsla nvidia nvda netflix nflx amazon amzn microsoft msft apple aapl amp p spy bond agg gold gld,NEGATIVE,0.9276,neg,0.0,neutral,0.8721162676811218
33,33,GarethSoloway,"Latest update video from yours truly on #Bitcoin, the #StockMarket and more. Lots of #TechnicalAnalysis and cool things shown. #Cycles, #TrendLines #Pivots...more $BTC $ETH $SPY $QQQ $GOOGL $AAPL

https://t.co/MasWZyGkTQ",2021-09-02 18:57:13+00:00,42579,44,21,218,late update video truly lot cool thing show btc eth spy qqq aapl,POSITIVE,0.9273,neg,0.0,neutral,0.875522255897522
34,34,TommyThornton,"Fun fact: the combined market caps of $AAPL, $AMZN, $FB, and $GOOGL are now larger than Japan’s entire Topix index with 2200 companies",2021-09-02 09:40:32+00:00,54701,12,34,264,fun fact combine market cap aapl amzn fb large japan entire topix index company,POSITIVE,0.9987,neg,0.0,neutral,0.9318455457687378
35,35,great_martis,"$GOOGL

Only takes one trade to make a killing .

Google looks prime for a mauling .

A matter of WHEN not IF. https://t.co/jMKLrBIY1e",2021-09-01 21:47:48+00:00,39044,43,27,244,take one trade make kill look prime maul matter,NEGATIVE,0.9985,neg,0.0,neutral,0.9147067070007324
36,36,denizmustafatr,"Google $GOOGL Youtube firmasını

2008 yılında $1.65 milyara satın aldı. 
Youtube şu an 3 haftada bir $1.65 milyar ciro yapıyor.",2021-08-31 20:09:00+00:00,49895,11,19,258,youtube firmasını yılında milyara satın aldı youtube şu haftada bir milyar ciro yapıyor,POSITIVE,0.9616,neg,0.0,neutral,0.8802294731140137
37,37,Investingcom,"*SOUTH KOREA PASSES BILL TO CURB GOOGLE AND APPLE'S PAYMENT DOMINANCE

$GOOGL $AAPL",2021-08-31 11:18:43+00:00,599457,12,32,202,south korea pass bill curb apple payment dominance aapl,NEGATIVE,0.9897,neg,0.0,neutral,0.4107574224472046
38,38,DeItaone,"SEOUL REQUIRES GOOGLE, APPLE TO ALLOW COMPETING PAYMENT SYSTEMS, THREATENING THEIR 30% CUT OF MOST IN-APP DIGITAL SALES - WSJ
$GOOGL 
$AAPL",2021-08-31 09:53:21+00:00,382928,5,31,244,seoul require apple allow compete payment system threaten cut app digital sale wsj aapl,NEGATIVE,0.9934,neg,0.0,neutral,0.9248899221420288
39,39,Lisa12109129,"Susan Wojcicki tweeted about #LISA ""Excited for the first single from #LALISA on September 10th!""

Susan Wojcicki is an American-Polish business executive who is the CEO of YouTube.She has been in the tech industry for over 20years.Wojcicki was involved in the founding of Googl++ https://t.co/pmrK61nQZ0",2021-08-31 01:38:40+00:00,8431,20,677,1678,susan wojcicki tweet excite first single september 10th susan wojcicki american polish business executive ceo youtube tech industry 20years wojcicki involve found,NEGATIVE,0.9463,neg,0.0,neutral,0.9030863046646118
40,40,SarahPonczek,"Not all FAANG stocks are created equal in 2021:

Alphabet +64% $GOOGL

Amazon and Netflix both *checks notes* +3% 
$AMZN $NFLX",2021-08-30 13:15:03+00:00,27820,18,22,333,faang stock create equal alphabet amazon netflix check note amzn nflx,POSITIVE,0.8172,neg,0.0,neutral,0.9256250262260437
41,41,rhemrajani9,"💹📊 𝑫𝒂𝒕𝒂 𝒂𝒏𝒅 𝑩𝒆𝒚𝒐𝒏𝒅 📊💹:

The amount of data that will be created over the next decade, will change the way we consume, analyze, store, visualize and receive it.

$NET $CRWD $TWLO $SNOW $PLTR $SMFR $FB $GOOGL $AMZN $MSFT $SQ 🧵👇... https://t.co/gviLA0VrGn",2021-08-29 15:06:57+00:00,5140,20,64,262,amount data create next decade change way consume analyze store visualize receive net crwd twlo snow pltr smfr fb amzn msft sq,POSITIVE,0.9969,neg,0.0,neutral,0.9265496730804443
42,42,WOLF_Financial,"Which portfolio are you holding for 3 years?

A.
$SQ Square
$PLTR Palantir
$DKNG Draftkings
$BTC Bitcoin

B.
$SE Sea Ltd.
$NVDA Nvidia
$ETSY
$ETH Ethereum

C.
$GOOGL Google
$UPST Upstart
$MRNA Moderna
$ADA Cardano

D.
$TSLA Tesla
$CRWD Cloudstrike
$AAPL Apple
$DOGE Dogecoin

👇",2021-08-28 13:21:23+00:00,25345,489,73,610,portfolio hold year sq square pltr palantir dkng draftkings btc bitcoin b se sea ltd nvda nvidia etsy eth ethereum c upst upstart mrna moderna ada cardano tsla tesla crwd cloudstrike aapl apple doge dogecoin,POSITIVE,0.9679,neg,0.0,neutral,0.9086052775382996
43,43,AviNMash,"𝙁𝙖𝙣𝙩𝙖𝙨𝙮 𝙎𝙩𝙤𝙘𝙠 𝙈𝙖𝙧𝙠𝙚𝙩

Which team are you drafting for 𝗯𝗲𝘀𝘁 % 𝗶𝗻𝗰𝗿𝗲𝗮𝘀𝗲 over next 5 years?

Team 1. $TWLO $CRM $NET
Team 2: $DOCU $SNOW $ZM 
Team 3: $CRWD $NVDA $AMD 
Team 4: $FB $GOOGL $AMZN 
Team 5: $ROKU $SE $SQ 

#Fantasy #Stocks comment below",2021-08-27 00:10:04+00:00,11161,163,27,222,team draft next year team twlo crm net team docu snow zm team crwd nvda amd team fb amzn team roku se sq comment,POSITIVE,0.9956,neg,0.0,neutral,0.9198625087738037
44,44,charliebilello,"Returns, last 12 months...
Moderna $MRNA: +464%
Google $GOOGL: +73%
Tesla $TSLA: +63%
Twitter $TWTR: +54%
Microsoft $MSFT: +37%
Paypal $PYPL: +35%
Nas 100 $QQQ: +29%
Facebook $FB: +21%
Apple $AAPL: +18%
Salesforce $CRM: +1%
Netflix $NFLX: +1%
Amazon $AMZN: -4%
Alibaba $BABA: -43%",2021-08-26 15:42:26+00:00,311986,73,255,1203,return last month moderna mrna tesla tsla twitter twtr microsoft msft paypal pypl na qqq facebook fb apple aapl salesforce crm netflix nflx amazon amzn alibaba baba,NEGATIVE,0.995,neg,0.0,neutral,0.8837277293205261
45,45,10YearTarget,"10 largest holdings in Vanguard Growth ETF:

$AAPL Apple
$MSFT Microsoft
$GOOGL Alphabet
$AMZN Amazon
$FB Facebook
$TSLA Tesla
$NVDA Nvidia
$V Visa
$HD Home Depot 
$MA Mastercard

How many do you own?",2021-08-26 12:22:01+00:00,11815,39,38,300,large hold vanguard growth etf aapl apple msft microsoft alphabet amzn amazon fb facebook tsla tesla nvda nvidia v visa hd home depot mastercard many,POSITIVE,0.9964,neg,0.0,neutral,0.9123328924179077
46,46,carlquintanilla,"BERNSTEIN: ""We now estimate that Google's payments to $AAPL to be the default search engine on iOS .. might be nearly $15B in FY 21 .. 

"".. with payments likely to 
approach $18 - $20B in FY 22, it not implausible that $GOOGL could revisit its strategy ..""",2021-08-25 12:34:43+00:00,316040,33,73,397,bernstein estimate payment aapl default search engine io might nearly 15b fy payment likely approach 20b fy implausible could revisit strategy,NEGATIVE,0.9641,neg,0.0,neutral,0.8910533785820007
47,47,TD_Investor,"Looking for Value Stocks?
Buy these:
$MMM
$KO
$PG
$MO
$WMT
$CAT

Looking for Growth stocks?
Buy these:
$TSLA
$FB
$AMZN
$SQ
$GOOGL
$BABA

Want the best of both worlds?
Buy these: 
$AAPL
$V
$LOW
$COST
$MSFT
$UNH",2021-08-24 20:51:55+00:00,23691,8,41,278,look value stock buy mmm ko pg mo wmt cat look growth stock buy tsla fb amzn sq baba want best world buy aapl v low cost msft unh,NEGATIVE,0.9627,neg,0.0,neutral,0.8887372612953186
48,48,Dividend_Dollar,"Investing with a LONG TERM horizon is how wealth is built

Find businesses that are EVOLVING

🏡 $RDFN $Z
⚡️ $TSLA $NIO
⌨️ $GOOGL $TTD
💊 $JNJ $ABBV
📦 $ETSY $SHOP
🤖 $PLTR $FB
💳 $SQ $PYPL
💻 $NVDA $AMD
🏨 $ABNB
🕵️ $CRWD $OKTA
🚜 $DE
📝 $DOCU $ADBE
🌆 $O $SPG",2021-08-24 13:40:00+00:00,29590,15,53,286,invest long term horizon wealth build find business evolve rdfn z tsla nio ttd jnj abbv etsy shop pltr fb sq pypl nvda amd abnb crwd okta de docu adbe spg,POSITIVE,0.9934,neg,0.0,neutral,0.8476781845092773
49,49,GuruGruden,"Day 69 of implementing the @MrZackMorris flush strategy and being big green on the day 😂

GOOGL 6.8 --&gt; 14 ✅ (100%)
SPY 0.19 —&gt; 0.38 ✅(100%)
TSLA 4.2 --&gt; 6.40 ✅ (52%)
MRNA 8 --&gt; 20 ✅ (150%)
NVDA 2.55 —&gt; 3.40 ✅ (34%)
XERS 2.70 --&gt; 2.95 ✅ (9%)
COIN 2.88 --&gt; 2.60 🚫 (-10%)",2021-08-23 21:20:07+00:00,12647,32,9,289,day implement flush strategy big green day gt spy gt tsla gt mrna gt nvda gt xers gt coin gt,POSITIVE,0.9487,neg,0.0,neutral,0.9124715328216553
50,50,optionsprochick,"Today I missed $AMZN $AMD $NVDA &amp; my $WYNN first entry. It will happen. We are humans. But when you miss something, You don't want to chase, Just look for a new play. $GOOGL $TSLA $PFE  Paid great &amp; were not on my List
Moral of the story. More plays will surface, Don't FOMO",2021-08-23 20:56:55+00:00,30577,17,7,328,today miss amzn amd nvda amp wynn first entry happen human miss something want chase look new play tsla pfe pay great amp list moral story play surface fomo,NEGATIVE,0.5623,neg,0.0,neutral,0.8756039142608643
51,51,StockMKTNewz,"Most innovative companies in the world of 2021

1 Apple $AAPL
2 Google $GOOGL
3 Amazon $AMZN
4 Microsoft $MSFT
5 Tesla $TSLA

What are your thoughts on this list? (Source https://t.co/uIyBQWiTuG) https://t.co/f36H53AZpK",2021-08-22 15:40:20+00:00,117584,21,47,223,innovative company world apple aapl amazon amzn microsoft msft tesla tsla think list source,POSITIVE,0.9994,neg,0.0,neutral,0.9315422773361206
53,53,stretchmikep,"@BrianFeroldi Monopolies &amp; Oligopolies (market share):

Search - $GOOGL (92%)

Credit Cards - $V (50%), $MA (25%), Others (25%) 

Rating Agencies - $SPGI (50%) $MCO (35%), Fitch (15%)

Waste Mgmt - $WM (36%), $RSG (24%), $WCN (12%)

Credit Bureaus - $EFX (38%), $EXPE LN (33%), $TRU (23%)",2021-08-20 20:00:06+00:00,304,8,20,217,monopoly amp oligopoly market share search credit card v others rat agency spgi mco fitch waste mgmt wm rsg wcn credit bureau efx expe ln tru,NEGATIVE,0.9963,neg,0.0,neutral,0.9326892495155334
54,54,cadeinvests,"Top 10 S&amp;P 500 stocks.

1 $AAPL      - Apple
2 $MSFT     - Microsoft 
3 $AMZN    - Amazon
4 $FB          - Facebook
5 $GOOGL - Alphabet A
6 $GOOG   - Alphabet C
7 $TSLA      - Tesla
8 $BRK.B   - Berkshire
9 $NVDA    - Nvidia
10 $JPM     - JPMorgan

The worlds greatest companies.",2021-08-18 12:50:06+00:00,10106,39,116,618,top amp p stock aapl apple msft microsoft amzn amazon fb facebook alphabet goog alphabet c tsla tesla brk b berkshire nvda nvidia jpm jpmorgan world great company,POSITIVE,0.9998,neg,0.0,neutral,0.931572675704956
55,55,Beth_Kindig,"Cloud software is set to report in the coming weeks.

Aggregate Capex at $MSFT $AMZN and $GOOGL is up 49% YoY, a sign that cloud is still in hyper growth. https://t.co/U4lIqXIgCl",2021-08-17 19:48:47+00:00,99084,12,33,235,cloud software set report come week aggregate capex msft amzn yoy sign cloud still hyper growth,NEGATIVE,0.7743,neg,0.0,positive,0.43291541934013367
