Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet,flair_sentiment,flair_sentiment_score,vader_sentiment,vader_score,finbert_sentiment,finbert_score,ticker
TheFBAInvestor,"I just bought an Apple 13 Pro.

I hold $AAPL stock. 

I didn't pay for the phone, other people did. 

I also bought it through my company saving over 20% tax. 

Life is good.",2021-09-28 10:05:57+00:00,14369,18,31,310,buy pro hold stock pay phone people also buy company save tax life good,POSITIVE,0.8278,neu,0.6908,neutral,0.940758824,AAPL
DividendGrowth,"World’s largest dividend payers in 2020

Microsoft $MSFT $16.52 billion
AT&amp;T $T $14.96 billion
ExxonMobil $XOM $14.87 billion
Apple $AAPL $14.08 billion
China Construction Bk $13.2 billion
JP Morgan $JPM $12.69 billion
Johnson&amp;Johnson $JNJ 10.48 billion
Verizon $VZ 10.23 billion",2021-09-27 20:55:00+00:00,81624,15,50,405,world large dividend payer microsoft msft billion amp billion exxonmobil xom billion billion china construction bk billion jp morgan jpm billion johnson amp johnson jnj billion verizon vz billion,POSITIVE,0.9934,neu,0.2023,neutral,0.916223288,AAPL
Dennis_Porter_,"1980: Buy &amp; HODL $AAPL
1986: Buy &amp; HODL $MSFT
1997: Buy &amp; HODL $AMZN
2002: Buy &amp; HODL $NFLX
2010: Buy &amp; HODL $TSLA
2012: Buy &amp; HODL $FB

2021: SELL ALL BUY &amp; HODL #BTC",2021-09-27 16:29:42+00:00,20253,26,71,542,buy amp hodl buy amp hodl msft buy amp hodl amzn buy amp hodl nflx buy amp hodl tsla buy amp hodl fb sell buy amp hodl,NEGATIVE,0.8805,neu,0,neutral,0.904717267,AAPL
Dividend_Dollar,"10 Buy and Never Sell Stocks

💊 $JNJ
🛠️ $HD
☕️ $SBUX
📦 $AMZN
🍎 $AAPL
🐭 $DIS
🏬 $O
🛒 $COST
🖥️ $MSFT
🚀 $RTX",2021-09-27 15:15:00+00:00,29213,39,113,671,buy never sell stock jnj hd sbux amzn dis cost msft rtx,NEGATIVE,0.9997,neu,0,neutral,0.943696856,AAPL
MarketRebels,"Most Mentioned Tickers on WSB (via Swaggy Stocks)

1. $TSLA
2. $GOEV
3. $BABA
4. $SDC
5. $AAPL
6. $WISH
7. $SOFI
8. $BODY
9. $FB
10. $CLF",2021-09-27 01:54:59+00:00,128553,13,30,268,mention ticker wsb via swaggy stock tsla goev baba sdc wish sofi body fb clf,NEGATIVE,0.8173,neu,0.4019,neutral,0.928981662,AAPL
FinancialJuice,"CHINA'S POWER SHORTAGE HITS IPHONE AND TESLA MANUFACTURING, ACCORDING TO NIKKEI. $AAPL $TSLA",2021-09-26 19:25:50+00:00,69839,31,128,592,china power shortage hit iphone tesla manufacture accord nikkei tsla,NEGATIVE,0.9337,neu,-0.25,negative,0.904350042,AAPL
MarketRebels,"Most Mentioned Tickers on WSB (via Swaggy Stocks)

1. $TSLA
2. $GOEV
3. $WISH
4. $GME
5. $BODY
6. $AAPL
7. $AMZN
8. $BABA
9. $FB
10. $TLRY",2021-09-26 16:30:00+00:00,128553,5,31,203,mention ticker wsb via swaggy stock tsla goev wish gme body amzn baba fb tlry,NEGATIVE,0.9569,neu,0.4019,neutral,0.92772311,AAPL
AlternateJones,"$TSLA has 20x’ed since 2015 while $AAPL has 3x’ed.

In the next 6 years $TSLA will again 20x while $AAPL will 2x.",2021-09-26 05:04:28+00:00,15084,73,69,833,tsla 20x ed since 3x ed next year tsla 20x 2x,NEGATIVE,0.8658,neu,0,neutral,0.926998615,AAPL
MarketRebels,"Most Mentioned Tickers on WSB (via Swaggy Stocks)

1. $GOEV
2. $TSLA
3. $BABA
4. $WISH
5. $AAPL
6. $AMZN
7. $GME
8. $SDC
9. $PLTR
10. $SOFI",2021-09-25 19:36:04+00:00,128553,13,35,228,mention ticker wsb via swaggy stock goev tsla baba wish amzn gme sdc pltr sofi,NEGATIVE,0.84,neu,0.4019,neutral,0.879633963,AAPL
lpolovets,"Bitcoin's resilience is so impressive.

China just banned cryptocurrency transactions, and Bitcoin is only down 4%. Imagine how far $AAPL would drop if China declared Apple's products illegal.",2021-09-24 22:39:24+00:00,52569,52,69,649,bitcoin resilience impressive china ban cryptocurrency transaction bitcoin imagine far would drop china declare product illegal,NEGATIVE,0.5207,neu,-0.7184,negative,0.849995852,AAPL
theefinanceguy,"The next

🤳 $FB
📱 $AAPL
🛒 $AMZN
🍿 $NFLX
🔎 $GOOG

Is among a new class of growth names:

🏠 $OPEN
🧬 $DNA
📺 $ROKU
👨‍⚕️ $TDOC
🍋 $LMND
🎮 $SKLZ
📄 $DOCU
🚲 $PTON
💳 $AFRM
💽 $PLTR
💻 $S
☕️ $BROS
📍 $PINS
🏦 $UPST
👻 $SNAP
🌊 $SE

Which of these do you like? What’s missing?

👇",2021-09-24 21:54:05+00:00,10724,96,78,549,next fb amzn nflx goog among new class growth name open dna roku tdoc lmnd sklz docu pton afrm pltr bros pin upst snap se like miss,POSITIVE,0.7168,neu,0.5423,neutral,0.805913031,AAPL
cburniske,"In the tech &amp; telecom crash, you could have picked up $AMZN, $MSFT, $AAPL, $NFLX all at extremely attractive prices. 

Whenever #crypto goes through its next crash, similarly you'll be able to pick up key Web3 infrastructure at attractive prices for a multi-decadal hodl.",2021-09-24 14:25:40+00:00,190041,21,40,295,tech amp telecom crash could pick amzn msft nflx extremely attractive price whenever go next crash similarly able pick key web3 infrastructure attractive price multi decadal hodl,NEGATIVE,0.9148,neu,0.2467,positive,0.865773439,AAPL
Trendspider_J,"That's it! Charts are done for the night. 

Hope they are helpful! See you tomorrow!

Reviewed:
$SPY
$QQQ
$IWM 
$SPOT
$GRWG
$AMD
$APPS
$CRM
$DIS
$DKNG
$PENN
$WISH
$PLTR
$UPST
$DATS
$NNOX
$TWTR
$AAPL
$NFLX
$ROKU
$VISL",2021-09-23 22:36:55+00:00,109690,41,23,447,chart do night hope helpful see tomorrow review spy qqq iwm spot grwg amd apps crm dis dkng penn wish pltr upst dat nnox twtr nflx roku visl,NEGATIVE,0.7614,neu,0.8126,neutral,0.901223123,AAPL
MarketRebels,NFL reportedly looking to make Sunday Ticket deal with $AAPL,2021-09-23 22:19:53+00:00,128554,27,50,477,nfl reportedly look make sunday ticket deal,POSITIVE,0.6065,neu,0,neutral,0.79901886,AAPL
DavidGalanBolsa,"🍏$AAPL #Apple 
Creo que mucha gente no es consciente de la magnitud de Apple y por eso muchos consideran desde hace años que es una burbuja.
🤯Ojo lo que supone solo la magnitud de ventas de Airpods vs ventas totales en otras tecnológicas https://t.co/fsCTjrvgwc",2021-09-23 18:54:19+00:00,41457,22,55,321,creo que mucha gente e consciente de la magnitud de por eso muchos consideran desde hace años que e una burbuja ojo lo que supone solo la magnitud de ventas de airpods v ventas total en otras tecnológicas,POSITIVE,0.9063,neu,0,positive,0.612303853,AAPL
appleinsider,"Investment bank Wedbush believes that iPhone 13 orders are about 20% ahead of the company's previous iPhone 12 lineup, driven in part by strong demand in China. 

$aapl #iPhone13 https://t.co/q7vdUa3ZnW https://t.co/Plb4VEyOlG",2021-09-23 16:11:27+00:00,567619,2,19,214,investment bank wedbush belief iphone order ahead company previous iphone lineup drive part strong demand china,POSITIVE,0.9745,neu,0.4215,positive,0.950829506,AAPL
GerberKawasaki,Facebook getting whacked by Apple with the new changes in IOS which prevents their abusive spying.  Advertising becoming less effective on their platforms. $FB $AAPL #DeleteFacebook,2021-09-23 13:18:29+00:00,174322,32,19,311,facebook get whack new change io prevent abusive spy advertise become le effective platform fb,NEGATIVE,0.8248,neu,-0.25,neutral,0.919058681,AAPL
MarketRebels,"According to leaked memo, Tim Cook says employees who leak memos do not belong at $AAPL",2021-09-23 02:25:27+00:00,128554,32,40,447,accord leak memo tim cook say employee leak memo belong,NEGATIVE,0.9457,neu,-0.5859,negative,0.712994576,AAPL
ValueAnalyst1,"$TSLA margins &gt; $AAPL margins

Q4’22. Don’t doubt me 😎",2021-09-23 02:10:13+00:00,11355,9,22,235,tsla margin gt margin q4 doubt,NEGATIVE,0.999,neu,-0.1027,positive,0.895371616,AAPL
tradingview,"Market caps

1. Apple $AAPL $2.4T
2. Microsoft $MSFT $2.2T
3. Google $GOOGL $1.8T
4. Amazon $AMZN $1.7T
5. Facebook $FB $967B
6. #Bitcoin $820B
7. Tesla $TSLA $744B
8. Berkshire Hathaway $BRK $618B
9. Tencent $550B
10. Nvidia $NVDA $546B
11. Visa $V $473B
12. JPMorgan $JPM $465B",2021-09-22 23:12:02+00:00,318063,25,89,310,market cap 4t microsoft msft 2t google googl 8t amazon amzn 7t facebook fb 967b 820b tesla tsla 744b berkshire hathaway brk 618b tencent 550b nvidia nvda 546b visa v 473b jpmorgan jpm 465b,POSITIVE,0.9581,neu,0.1779,neutral,0.929799139,AAPL
dividendhike,"The biggest US dividend payers at this moment:

1. Microsoft $18.6 billion $MSFT
2. AT&amp;T $14.9 billion $T
3. ExxonMobil $14.7 billion $XOM
4. Apple $14.5 billion $AAPL
5. Johnson &amp; Johnson $11.2 billion $JNJ

$JPM $VZ and $CVX also pay more than $10B in dividend annually.",2021-09-22 07:26:11+00:00,17203,3,50,240,big u dividend payer moment microsoft billion msft amp billion exxonmobil billion xom billion johnson amp johnson billion jnj jpm vz cvx also pay 10b dividend annually,POSITIVE,0.9785,neu,-0.1027,neutral,0.928342938,AAPL
RamBhupatiraju,"My Google Finance screenshot from 10 yrs ago (Aug 2011).

Look where the indices and stocks shown were trading back then vs now. (Compare Mktcaps, not prices as many of them had splits over the yrs).

$AAPL $ADBE $AMZN $CMG $GOOG $ISRG $LULU $MA $MELI $MSFT $NFLX $NVDA $V https://t.co/PCOizQfmSh",2021-09-21 14:06:34+00:00,40003,15,39,339,google finance screenshot yr ago aug look index stock show trade back v compare mktcaps price many split yr adbe amzn cmg goog isrg lulu meli msft nflx nvda v,NEGATIVE,0.9961,neu,0,neutral,0.862588525,AAPL
BahamaBen9,"$ROKU is taking on the Goliath's.

There is a lot of justified fear of $GOOG $AMZN and $AAPL.

It's a risk I expected from the start as the opportunity is massive!

I'm staying long $ROKU.",2021-09-21 13:46:15+00:00,44784,24,6,229,roku take goliath lot justify fear goog amzn risk expect start opportunity massive stay long roku,POSITIVE,0.5086,neu,-0.3612,neutral,0.881763518,AAPL
Dividend_Dollar,"All 3 of these portfolios pay MONTHLY dividends

Here is what $15K invested evenly in each portfolio would pay in dividends

Portfolio #1 = $590 in Dividends
$PM
$ABBV
$MCD

Portfolio #2 = $583 in Dividends
$MO
$SBUX
$AVGO

Portfolio #3 = $201 in Dividends
$CSCO
$AAPL
$MSFT",2021-09-21 13:25:00+00:00,29213,20,48,238,portfolio pay monthly dividend 15k invest evenly portfolio would pay dividend portfolio dividend pm abbv mcd portfolio dividend mo sbux avgo portfolio dividend csco msft,POSITIVE,0.5579,neu,-0.2023,neutral,0.938213766,AAPL
Marlin_Capital,"For long term investors, buying great companies when the stock price is outside its lower bollinger band has historically provided great opportunities. 

Examples: $NVDA $AAPL $FB $SE https://t.co/PWWYtmKjMc",2021-09-20 21:38:21+00:00,12475,8,28,223,long term investor buy great company stock price outside low bollinger band historically provide great opportunity example nvda fb se,POSITIVE,0.9728,neu,0.872,positive,0.768837631,AAPL
assetdash,"Perspective 🌐

Price 1 Year Ago:
• $AAPL $110
• $TSLA $449
• $BTC $10,400
• $ETH $370
• $SOL $2.84

Price Today:
• $AAPL $142
• $TSLA $729
• $BTC $43,824
• $ETH 3,057
• $SOL $141",2021-09-20 14:57:26+00:00,8266,11,74,315,perspective price year ago tsla btc eth sol price today tsla btc eth sol,POSITIVE,0.9372,neu,0,neutral,0.921552062,AAPL
appleinsider,"Apple's new iPhone 13 Pro models are off to a strong start, with several metrics pointing toward better demand than the company's devices have seen in years, according to Morgan Stanley. #iphone $aapl https://t.co/WPpASxb6fP https://t.co/P8ixQYmfn0",2021-09-20 14:40:41+00:00,567618,4,32,350,new iphone pro model strong start several metric point toward good demand company device see year accord morgan stanley,POSITIVE,0.8655,neu,0.6908,positive,0.862458527,AAPL
Dividend_Dollar,"💰 10 Top Dividend Stocks

☕️ $SBUX
🚬 $MO
⚒️ $HD
💳 $V
🛒 $WMT
📱 $AAPL
🏨 $O
💊 $JNJ
💉 $ABBV
🖥️ $MSFT",2021-09-20 13:35:00+00:00,29213,17,60,356,top dividend stock sbux mo hd v wmt jnj abbv msft,POSITIVE,0.9999,neu,0.2023,neutral,0.92675972,AAPL
jicchamatome,"- $AAPL: ホールドOK、買いだと思う
- $RELY: 今週IPOで注目の銘柄
- $AFRM: 決算○、 $AMZN との提携でここで示されたガイダンスよりも高い数字で入ってくると思う
- $NCNO: 良い、今非常に勢いがある
- 中国経済の鈍化で影響を受けそうな企業: $LVMUY $NKE $SBUX $YUM $FCX $RIO $SBLK $VALE など",2021-09-20 09:53:46+00:00,105297,1,8,242,ok rely ipo afrm amzn ncno lvmuy nke sbux yum fcx rio sblk vale,POSITIVE,0.8682,neu,0.296,neutral,0.880981982,AAPL
vincent13031925,"The last 10 Years’ return:

$BTC: +994,608%
$TSLA: +15,200%
$NVDA: +6,053%
$NFLX: +2,337%
$AMZN: +1,427%
$MSFT: +1,280%
$AAPL: +1,112%
$GOOGL: +937%
$SPY: +344%
$GLD: -6%",2021-09-20 00:44:19+00:00,122081,61,125,1000,last year return btc tsla nvda nflx amzn msft googl spy gld,POSITIVE,0.9734,neu,0,neutral,0.920545876,AAPL
thewealthdad,"When you can afford to buy real estate (RE), do it asap

RE isn't like stocks where they'll suddenly dip 30% in a month (i.e. March 2020)

Where $AAPL might be down 30% from its ATH, you aren't logging onto Zillow and seeing that $350k dream townhome on sale for $245k (30% drop)",2021-09-20 00:04:35+00:00,54049,23,25,210,afford buy real estate asap like stock suddenly dip month e march might ath log onto zillow see 350k dream townhome sale 245k drop,NEGATIVE,0.9982,neu,0.34,negative,0.628012896,AAPL
GaaOptions,"Weekly Public Watchlist:

$TSLA over 763, 770c
$U over 140, 145c
$SNOW over 326, 330c
$BA over 217, 220c | below 208, 205p
$AAPL below 144, 143p
$MSFT below 296.8, 295p

You know the deal:
250 ❤️ unlocks 15 bonus picks with chart analysis!",2021-09-19 22:08:30+00:00,22817,2,28,531,weekly public watchlist tsla 770c u 145c snow 330c ba 220c 205p 143p msft 295p know deal unlock bonus pick chart analysis,POSITIVE,0.9738,neu,0.5423,neutral,0.941790521,AAPL
MarketRebels,More than 2 million $AAPL iPhone 13s were preordered on $JD compared to ~1.5 million iPhone 12s last year,2021-09-19 20:45:00+00:00,128554,20,62,343,million iphone 13 preordered jd compare million iphone 12 last year,NEGATIVE,0.9901,neu,0,neutral,0.905676544,AAPL
charliebilello,"Total Returns over the last 10 Years...
Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337%
Amazon $AMZN: +1,427%
Microsoft $MSFT: +1,280%
Apple $AAPL: +1,112%
Google $GOOGL: +937%
S&amp;P 500 $SPY: +344%
Bonds $AGG: +35%
Gold $GLD: -6%
Next 10?",2021-09-19 13:33:48+00:00,309770,733,2956,12098,total return last year bitcoin btc tesla tsla nvidia nvda netflix nflx amazon amzn microsoft msft google googl amp p spy bond agg gold gld next,NEGATIVE,0.8098,neu,0.1779,neutral,0.917150617,AAPL
ChartingTrends,"If you take away $GOOG, $MSFT and $AAPL, stocks have gone absolutely nowhere since February. https://t.co/b5mgKXUDDm",2021-09-19 07:29:49+00:00,13260,22,50,341,take away goog msft stock go absolutely nowhere since february,NEGATIVE,0.8935,neu,0,negative,0.529037774,AAPL
MarketRebels,"Most Mentioned Tickers on WSB (via Swaggy Stocks)

1. $SDC
2. $AAPL
3. $PLTR
4. $TSLA
5. $WISH
6. $GME
7. $AMD
8. $ASTS
9. $AMZN
10. $AMC",2021-09-18 21:31:52+00:00,128554,21,34,212,mention ticker wsb via swaggy stock sdc pltr tsla wish gme amd asts amzn amc,NEGATIVE,0.7892,neu,0.4019,neutral,0.929283619,AAPL
BullishRippers,"Net Income generated per Day last quarter

Berkshire $BRK.B: $309M
Apple $AAPL: $239M
Google $GOOGL: $204M
Microsoft $MSFT: $181M
JPMorgan $JPM: $126M
Facebook $FB: $114M
Bank of America $BAC: $98.5M
Amazon $AMZN: $85.5M
Alibaba $BABA: $76.8M
Johnson &amp; Johnson $JNJ: $69M",2021-09-18 17:54:34+00:00,5142,10,51,313,net income generate per day last quarter berkshire brk b 309m 239m google googl 204m microsoft msft 181m jpmorgan jpm 126m facebook fb 114m bank america bac 5m amazon amzn 5m alibaba baba 8m johnson amp johnson jnj 69m,POSITIVE,0.9846,neu,0.1779,neutral,0.925604463,AAPL
MarketRebels,Tim Cook says $AAPL is planning a physical retail presence in India,2021-09-17 17:10:21+00:00,128554,17,12,209,tim cook say plan physical retail presence india,POSITIVE,0.9978,neu,0,neutral,0.648540258,AAPL
ripster47,"$AAPL will give good trade soon for long term swing traders
140-141 level is huge support for consolidation

Pullbacks are normal and healthy for markets
Make sure u have ur charts and levels ready when time to hit the reversal! Dnt buy on ""gut"" feeling, follow a system.",2021-09-17 15:42:26+00:00,241678,11,19,204,give good trade soon long term swing trader level huge support consolidation pullback normal healthy market make sure u ur chart level ready time hit reversal dnt buy gut feel follow system,POSITIVE,0.9366,neu,0.9246,neutral,0.801377773,AAPL
BullishRippers,"Revenue generated per Day last quarter

Walmart $WMT: $1.54B
Amazon $AMZN: $1.24B
Apple $AAPL: $895M
Berkshire $BRK.B $759M
Google $GOOGL: $680M
Microsoft $MSFT: $507M
Alibaba $BABA: $349M
$JPM: $335M
Facebook $FB: $320M
Ford $F: $265M
Disney $DIS: $187M
Tesla $TSLA: $131M",2021-09-17 14:39:21+00:00,5142,9,46,274,revenue generate per day last quarter walmart wmt 54b amazon amzn 24b 895m berkshire brk b 759m google googl 680m microsoft msft 507m alibaba baba 349m jpm 335m facebook fb 320m ford f 265m disney dis 187m tesla tsla 131m,POSITIVE,0.9912,neu,0.1779,neutral,0.917269826,AAPL
1shankarsharma,"Many tell me ""Sir, the next time you see a trade like Amzn, Aapl, Indusind, Twtr, Tata Motors, HFCL,at multi year lows, tell us.We'll buy too"".
I laugh:""You never wud because you'd say""Too risky'.
In hindsight,all great trades seem easy. But they weren't so then. 
Ad-tech?",2021-09-17 04:37:25+00:00,221330,68,59,684,many tell sir next time see trade like amzn indusind twtr tata motor hfcl multi year low tell u buy laugh never wud say risky hindsight great trade seem easy ad tech,NEGATIVE,0.9851,neu,0.9117,neutral,0.880601406,AAPL
jicchamatome,👴特別なスキルを習得せずとも投資成果を出すことは不可能ではない。 $VTI を買う。それじゃ味気ないなら、高配当株式 $VYM にも分散、分散投資の気分を味わうことが出来る。(個別株投資したい)というのであれば $GOOG $FB $AAPL $AMZN $MSFT から数銘柄分散、同時に買い建てることをおすすめします。,2021-09-17 02:52:00+00:00,105297,3,30,622,vti vym goog fb amzn msft,NEGATIVE,0.8779,neu,0,neutral,0.925701916,AAPL
glockied,"Glock’s #LottoFriday Picks

Keep size small &amp; Good luck!

$AAPL 149C &gt; 148.97 | 147P &lt; 147.25
$SNAP 74C &gt; 73.40 | 71P &lt; 71.56 
$FB 375C &gt; 373.45 | 365P &lt; 369.70
$HOOD 43C &gt; 42.56 | 40P &lt; 40.90

169 likes for more FREE picks.💸",2021-09-16 22:48:07+00:00,20732,8,10,236,glock pick keep size small amp good luck 149c gt 147p lt snap 74c gt 71p lt fb 375c gt 365p lt hood 43c gt 40p lt like free pick,POSITIVE,0.8112,neu,0.9524,neutral,0.881599247,AAPL
MarketRebels,"More than 2 million $AAPL iPhone 13s have already been preordered through $JD in China, just 1.5 million iPhone 12s were preordered last year",2021-09-16 12:18:19+00:00,128554,11,52,324,million iphone 13 already preordered jd china million iphone 12 preordered last year,NEGATIVE,0.9979,neu,0,neutral,0.88814044,AAPL
charliebilello,"Last 7 months...

Facebook $FB: +38%
Google $GOOGL: +38%
Microsoft $MSFT: +25%
Nasdaq 100 $QQQ: +13%
Apple $AAPL: +10%
Amazon $AMZN: +6%
-
JD $JD: -23%
Alibaba $BABA: -41%
Tencent $TCEHY: -41%
Meituan $MPNGF: -48%
Baidu $BIDU: -48%
China Internet $KWEB: -53%",2021-09-16 11:43:23+00:00,309770,36,162,507,last month facebook fb google googl microsoft msft nasdaq qqq amazon amzn jd jd alibaba baba tencent tcehy meituan mpngf baidu bidu china internet kweb,POSITIVE,0.6214,neu,0.1779,neutral,0.909499347,AAPL
1shankarsharma,"In my personal investing model(very different from our PMS Fund model),I look to make VC returns from listed. My best ones: Amzn, AAPL,Indusind, TWTR,HFCL,all hv common themes:Long history, troubled present, brightening future, which mkt ignores.
Which is the NEXT one on my list?",2021-09-16 04:28:58+00:00,221330,102,38,494,personal invest model different pm fund model look make vc return list best one amzn indusind twtr hfcl hv common theme long history trouble present brighten future mkt ignore next one list,POSITIVE,0.6355,neu,0.4404,neutral,0.910152197,AAPL
Trendspider_J,"Posted 15 charts for a secondary perspective tonight.

Will be offline for the most part until I am back from Vegas on Sunday night.

Everyone have a good rest of the week! :)

Reviewed:
$FUBO 
$PLTR
$PENN
$AAPL
$DIS
$SPOT
$SQ
$AMZN
$NFLX
$DKNG
$NVDA
$AVGO
$GE
$TWTR 
$CEI",2021-09-16 01:24:09+00:00,109690,35,31,391,post chart secondary perspective tonight offline part back vega sunday night everyone good rest week review fubo pltr penn dis spot sq amzn nflx dkng nvda avgo ge twtr cei,POSITIVE,0.6472,neu,0.34,neutral,0.886926353,AAPL
ValueAnalyst1,"True $TSLA bulls don’t own $AAPL because an unmatched pace of innovation is what attracts them to Tesla, whereas Apple’s pace of innovation has reduced to negligible.",2021-09-15 19:15:17+00:00,11355,48,20,322,true tsla bull unmatched pace innovation attract tesla whereas pace innovation reduce negligible,NEGATIVE,0.7291,pos,0.8481,neutral,0.563955665,AAPL
Tradytics,"If you're completely new and are tired of losing money, try this.

Go to trady flow - filter by 25+ orders, and whenever you see one, get the same contract but add 2-3 extra weeks.

You'll thank me after a few months. That filter has 80% accuracy. Look 👇

$AAPL
$SNAP
$UPST
$GME https://t.co/IVaZ3EIBRf",2021-09-15 17:43:53+00:00,13252,18,34,260,completely new tire lose money try go trady flow filter order whenever see one get contract add extra week thank month filter accuracy look snap upst gme,NEGATIVE,0.998,neu,-0.1189,neutral,0.846506357,AAPL
cadeinvests,"10 of my favorite stocks to hold for the next 10 years.

$V          -  Visa
$SQ       - Square
$DIS      - Disney
$AAPL   - Apple
$GOOG - Google
$AMZN - Amazon
$MSFT  - Microsoft 
$HD       - Home Depot
$JNJ       - Johnson &amp; Johnson
$WM      - Waste Management",2021-09-15 16:19:14+00:00,9945,70,145,1047,favorite stock hold next year v visa sq square dis disney goog google amzn amazon msft microsoft hd home depot jnj johnson amp johnson wm waste management,POSITIVE,0.9993,neu,0.2263,neutral,0.923090577,AAPL
MarketRebels,Monness Crespi raises $AAPL price target to $184,2021-09-15 14:53:00+00:00,128554,13,30,203,monness crespi raise price target,NEGATIVE,0.9663,neu,0,neutral,0.799839675,AAPL
